epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,3678.98,0.99597,2.37778,1.5702,0.32645,0.2913,0.24398,0.17321,1.16807,2.42579,1.79879,0.00954531,0.00954531,0.00954531
57,3741.15,1.00528,2.35746,1.58607,0.3684,0.28598,0.23986,0.17048,1.16394,2.39951,1.77854,0.00952889,0.00952889,0.00952889
58,3796.61,0.98622,2.31081,1.55352,0.30424,0.25609,0.22234,0.15504,1.13204,2.48894,1.75337,0.0095122,0.0095122,0.0095122
59,3855.01,1.00188,2.33497,1.5676,0.30706,0.25027,0.2176,0.15068,1.20139,2.44574,1.82721,0.00949524,0.00949524,0.00949524
60,3914.01,0.98386,2.30014,1.56051,0.30608,0.27952,0.23728,0.16796,1.16834,2.45443,1.76654,0.009478,0.009478,0.009478
61,3971.55,0.97889,2.31766,1.56143,0.3788,0.27918,0.25955,0.18487,1.13581,2.3311,1.7417,0.00946048,0.00946048,0.00946048
62,4030.86,0.96761,2.28329,1.53988,0.36447,0.27893,0.24847,0.1764,1.13841,2.42511,1.74059,0.0094427,0.0094427,0.0094427
63,4090.1,0.97313,2.28085,1.54816,0.35092,0.29432,0.25553,0.1822,1.12298,2.34048,1.72421,0.00942464,0.00942464,0.00942464
64,4148.9,0.97716,2.26615,1.54448,0.40151,0.27746,0.25775,0.18488,1.12609,2.3,1.74371,0.00940631,0.00940631,0.00940631
65,4208.49,0.9728,2.24779,1.54491,0.25881,0.27415,0.25031,0.18062,1.13336,2.38114,1.73477,0.00938772,0.00938772,0.00938772
66,4268.23,0.96377,2.2016,1.53887,0.37028,0.30273,0.25097,0.1784,1.13241,2.30374,1.75246,0.00936886,0.00936886,0.00936886
67,4327.43,0.94723,2.179,1.52139,0.38651,0.28647,0.26493,0.18763,1.14423,2.26688,1.75834,0.00934973,0.00934973,0.00934973
68,4384.94,0.96472,2.155,1.52565,0.3513,0.30747,0.27603,0.19663,1.14154,2.28652,1.75317,0.00933033,0.00933033,0.00933033
69,4441.67,0.95601,2.1926,1.52287,0.31156,0.27451,0.25174,0.17742,1.1576,2.31025,1.78422,0.00931067,0.00931067,0.00931067
70,4499.23,0.95528,2.17074,1.52736,0.2735,0.30002,0.23685,0.16811,1.16293,2.32188,1.79176,0.00929075,0.00929075,0.00929075
71,4557.66,0.95326,2.17682,1.51429,0.34009,0.35765,0.28032,0.20452,1.1204,2.24997,1.71309,0.00927057,0.00927057,0.00927057
72,4615.1,0.95191,2.14613,1.5106,0.38051,0.30313,0.27341,0.19482,1.13502,2.26694,1.73868,0.00925013,0.00925013,0.00925013
73,4673.1,0.95711,2.13981,1.53162,0.41568,0.32495,0.29842,0.21436,1.13658,2.22056,1.74978,0.00922942,0.00922942,0.00922942
74,4734.21,0.93217,2.09612,1.50572,0.29567,0.30699,0.27758,0.19718,1.15031,2.32962,1.7789,0.00920846,0.00920846,0.00920846
75,4794.22,0.92567,2.05678,1.48556,0.35087,0.35627,0.28879,0.20942,1.11311,2.19566,1.72478,0.00918725,0.00918725,0.00918725
76,4853.15,0.93525,2.03103,1.50643,0.30778,0.34525,0.275,0.1935,1.16418,2.24392,1.7889,0.00916577,0.00916577,0.00916577
77,4914.04,0.93412,2.02214,1.5088,0.34276,0.34948,0.315,0.22364,1.10903,2.14532,1.72073,0.00914405,0.00914405,0.00914405
78,4975.37,0.93086,1.98818,1.49398,0.38131,0.31919,0.29065,0.2093,1.1319,2.2168,1.75187,0.00912207,0.00912207,0.00912207
79,5036.47,0.9188,1.98012,1.49164,0.38997,0.31192,0.28879,0.20825,1.12311,2.19658,1.73134,0.00909984,0.00909984,0.00909984
80,5091.99,0.92352,1.96838,1.49357,0.39435,0.32697,0.28811,0.2121,1.13785,2.20241,1.75186,0.00907736,0.00907736,0.00907736
81,5149.51,0.90743,1.95059,1.48307,0.39499,0.33053,0.29995,0.21844,1.11321,2.15073,1.73896,0.00905463,0.00905463,0.00905463
82,5208.65,0.9091,1.95031,1.47691,0.48905,0.33266,0.32249,0.23518,1.12422,2.12219,1.72349,0.00903166,0.00903166,0.00903166
83,5266.23,0.90055,1.88902,1.47632,0.38325,0.32882,0.3039,0.21949,1.12588,2.19172,1.7384,0.00900844,0.00900844,0.00900844
84,5321.94,0.90221,1.92042,1.47442,0.42693,0.32921,0.32293,0.23369,1.11795,2.12902,1.74088,0.00898497,0.00898497,0.00898497
85,5374.65,0.91625,1.90473,1.48289,0.30471,0.36672,0.29339,0.21122,1.13521,2.2102,1.72732,0.00896127,0.00896127,0.00896127
86,5425.68,0.91628,1.89511,1.48979,0.33397,0.39895,0.32266,0.23935,1.08292,2.11094,1.68602,0.00893732,0.00893732,0.00893732
87,5476.57,0.90756,1.86521,1.47133,0.40395,0.33075,0.32719,0.23976,1.12199,2.16062,1.71831,0.00891313,0.00891313,0.00891313
88,5532.76,0.89025,1.87268,1.45991,0.39674,0.36278,0.33749,0.24715,1.09488,2.17085,1.69462,0.0088887,0.0088887,0.0088887
89,5590.12,0.88695,1.81565,1.44991,0.37013,0.36351,0.33429,0.24347,1.12317,2.08251,1.72065,0.00886404,0.00886404,0.00886404
90,5647.35,0.89184,1.79749,1.45283,0.43592,0.34828,0.33176,0.24554,1.09562,2.07164,1.69502,0.00883914,0.00883914,0.00883914
91,5705.54,0.88266,1.78121,1.45062,0.44075,0.34565,0.33562,0.24404,1.09046,2.07426,1.69141,0.00881401,0.00881401,0.00881401
92,5764.34,0.8811,1.75633,1.4495,0.33441,0.40143,0.33504,0.24234,1.1061,2.06829,1.71691,0.00878864,0.00878864,0.00878864
93,5821.38,0.87932,1.74818,1.44242,0.38912,0.35047,0.32948,0.23895,1.10175,2.09612,1.70467,0.00876305,0.00876305,0.00876305
94,5878.32,0.85571,1.68316,1.42268,0.37315,0.39221,0.3499,0.26048,1.09994,2.02471,1.70657,0.00873723,0.00873723,0.00873723
95,5935.22,0.8634,1.69376,1.42924,0.38468,0.37045,0.32188,0.23785,1.11566,2.19042,1.7127,0.00871117,0.00871117,0.00871117
96,5991.45,0.86807,1.65177,1.44061,0.34935,0.4182,0.35261,0.26165,1.09809,2.07269,1.68305,0.0086849,0.0086849,0.0086849
97,6050.25,0.853,1.64403,1.42515,0.42678,0.35605,0.36181,0.26313,1.10196,2.00376,1.7082,0.00865839,0.00865839,0.00865839
98,6109.35,0.85898,1.60491,1.42638,0.41688,0.40718,0.3831,0.28077,1.11131,2.02577,1.70403,0.00863167,0.00863167,0.00863167
99,6166.08,0.84654,1.56807,1.41029,0.35811,0.40277,0.35317,0.25666,1.09779,2.06324,1.6973,0.00860473,0.00860473,0.00860473
100,6224.92,0.85143,1.57477,1.41879,0.36266,0.3982,0.36208,0.26807,1.0933,2.04917,1.68915,0.00857756,0.00857756,0.00857756
101,6282.99,0.84992,1.57224,1.41695,0.3755,0.4156,0.36638,0.2666,1.10099,2.02292,1.70112,0.00855018,0.00855018,0.00855018
102,6340.35,0.82783,1.5319,1.40499,0.37157,0.39516,0.3639,0.27025,1.07662,2.04884,1.67428,0.00852258,0.00852258,0.00852258
103,6397.89,0.84216,1.50607,1.40585,0.37101,0.37623,0.37194,0.27503,1.09551,2.02861,1.68681,0.00849477,0.00849477,0.00849477
104,6454.6,0.83043,1.47466,1.39984,0.36076,0.41117,0.3612,0.26866,1.09912,2.06836,1.69905,0.00846674,0.00846674,0.00846674
105,6511.27,0.83617,1.48658,1.38875,0.3967,0.41633,0.37108,0.272,1.08624,2.06634,1.6751,0.00843851,0.00843851,0.00843851
106,6571.02,0.83303,1.4895,1.40534,0.43388,0.36385,0.36994,0.27313,1.09152,2.03952,1.67047,0.00841006,0.00841006,0.00841006
107,6631.39,0.82663,1.47047,1.38993,0.3783,0.39977,0.38162,0.28367,1.10124,1.98141,1.7092,0.00838141,0.00838141,0.00838141
108,6688.85,0.83301,1.43451,1.39872,0.41978,0.39323,0.3868,0.28458,1.10802,1.98572,1.69839,0.00835255,0.00835255,0.00835255
109,6745.8,0.82342,1.42733,1.38173,0.42521,0.3725,0.3705,0.27267,1.09076,2.04864,1.69133,0.00832349,0.00832349,0.00832349
110,6801.44,0.81595,1.37531,1.38091,0.4523,0.39085,0.39091,0.28442,1.09019,1.97516,1.68154,0.00829423,0.00829423,0.00829423
111,6858.82,0.8161,1.43455,1.37871,0.40738,0.40723,0.39928,0.28898,1.0931,2.00341,1.68873,0.00826477,0.00826477,0.00826477
112,6917.45,0.81295,1.38036,1.3782,0.47367,0.38246,0.38065,0.28277,1.0915,2.01481,1.68847,0.00823511,0.00823511,0.00823511
113,6976.55,0.82282,1.37673,1.38258,0.42059,0.38478,0.3736,0.2758,1.09456,2.00292,1.69096,0.00820525,0.00820525,0.00820525
114,7037.83,0.80764,1.35849,1.37184,0.49634,0.36699,0.38359,0.28129,1.09605,1.97807,1.69684,0.0081752,0.0081752,0.0081752
115,7095.52,0.81937,1.35528,1.37631,0.44531,0.38896,0.39021,0.28553,1.09564,2.03089,1.69975,0.00814495,0.00814495,0.00814495
116,7152.15,0.82119,1.36195,1.39147,0.43855,0.43103,0.39101,0.28019,1.10704,2.00698,1.7105,0.00811452,0.00811452,0.00811452
117,7209.41,0.82234,1.38094,1.37891,0.4181,0.41319,0.38738,0.28463,1.10661,2.05256,1.70829,0.00808389,0.00808389,0.00808389
118,7271.38,0.82439,1.33283,1.38898,0.43922,0.39972,0.39504,0.29501,1.0894,1.95965,1.69293,0.00805308,0.00805308,0.00805308
